SEDE_CODIGO,PERIODO_ID,PERIODO_ANIO,JORNADA_ID,JORNADA_CODIGO,JORNADA_NOMBRE,NIVELENSE_ID,NIVELENSE_CODIGO,NIVELENSE_NOMBRE,POBLACIONDES_ID,POBLACIONDES_CODIGO,POBLACIONDES_NOMBRE,JORNDES_CANTIDAD_HOMBRE,JORNDES_CANTIDAD_MUJER
105440000068,10,2023,2,2,Mañana,4,04,Media,1,01,"Desplazado, víctima del conflicto armado",2,1
215673000149,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",0,1
218001002789,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",3,0
241668000603,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",3,4
154001004732,10,2023,3,3,Tarde,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",1,0
213670001443,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",40,38
144430002564,10,2023,3,3,Tarde,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",0,3
111102000893,10,2023,2,2,Mañana,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",6,2
111102000893,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",5,1
283247000404,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",3,4
376563000538,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",11,3
219392000498,10,2023,2,2,Mañana,2,02,Básica primaria,2,02,Desmovilizado del conflicto armado,2,1
168572000417,10,2023,6,6,Única (Oficiales),2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",5,5
168572000417,10,2023,6,6,Única (Oficiales),3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",3,17
168572000417,10,2023,6,6,Única (Oficiales),4,04,Media,1,01,"Desplazado, víctima del conflicto armado",1,10
150001003625,10,2023,2,2,Mañana,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",0,1
150001003625,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",12,18
219418000378,10,2023,2,2,Mañana,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",1,6
219418000378,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",31,23
219418000378,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",15,8
125754000594,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",10,8
125754000594,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",17,15
281794000548,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",2,1
105615000457,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",20,19
168755000327,10,2023,4,4,Nocturna,5,05,CLEI (Ciclos lectivos integrados - decreto 3011 de 1997),1,01,"Desplazado, víctima del conflicto armado",0,2
286568003803,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",1,1
147001005481,10,2023,3,3,Tarde,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",9,7
147001005481,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",96,87
105250000185,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",44,55
141001000023,10,2023,6,6,Única (Oficiales),4,04,Media,1,01,"Desplazado, víctima del conflicto armado",4,3
476020000249,10,2023,5,5,Fin de Semana,5,05,CLEI (Ciclos lectivos integrados - decreto 3011 de 1997),1,01,"Desplazado, víctima del conflicto armado",8,13
105079000406,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",3,1
170001001224,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",29,35
170001001224,10,2023,3,3,Tarde,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",58,55
273236000555,10,2023,6,6,Única (Oficiales),2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",5,0
241551002699,10,2023,6,6,Única (Oficiales),1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",0,1
241551002699,10,2023,6,6,Única (Oficiales),2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",4,4
305088020176,10,2023,3,3,Tarde,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",2,2
213074001088,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",43,62
213074001088,10,2023,2,2,Mañana,4,04,Media,1,01,"Desplazado, víctima del conflicto armado",15,16
305088020176,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",0,2
185001004603,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",49,60
168406000336,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",11,16
168406000336,10,2023,3,3,Tarde,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",17,30
220621001108,10,2023,6,6,Única (Oficiales),2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",4,2
220621001108,10,2023,6,6,Única (Oficiales),3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",9,11
273678000040,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",22,32
273678000040,10,2023,2,2,Mañana,4,04,Media,1,01,"Desplazado, víctima del conflicto armado",8,5
176001800087,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",95,101
176001800087,10,2023,3,3,Tarde,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",31,19
376001024680,10,2023,3,3,Tarde,2,02,Básica primaria,2,02,Desmovilizado del conflicto armado,3,2
105400000120,10,2023,2,2,Mañana,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",18,15
105400000120,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",85,92
105631000084,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",21,25
105631000084,10,2023,2,2,Mañana,4,04,Media,1,01,"Desplazado, víctima del conflicto armado",12,12
241770000201,10,2023,6,6,Única (Oficiales),2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",24,30
241770000201,10,2023,6,6,Única (Oficiales),3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",25,36
241770000201,10,2023,6,6,Única (Oficiales),4,04,Media,1,01,"Desplazado, víctima del conflicto armado",7,8
105631000084,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",24,18
105001001155,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",3,1
105001001155,10,2023,5,5,Fin de Semana,5,05,CLEI (Ciclos lectivos integrados - decreto 3011 de 1997),1,01,"Desplazado, víctima del conflicto armado",4,3
205686000231,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",0,1
276275000464,10,2023,6,6,Única (Oficiales),1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",0,2
276275000464,10,2023,6,6,Única (Oficiales),2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",11,6
254670000429,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",15,7
254670000429,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",9,9
325126048170,10,2023,5,5,Fin de Semana,5,05,CLEI (Ciclos lectivos integrados - decreto 3011 de 1997),1,01,"Desplazado, víctima del conflicto armado",3,4
270418000284,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",7,5
327361001515,10,2023,6,6,Única (Oficiales),4,04,Media,1,01,"Desplazado, víctima del conflicto armado",41,37
252835003808,10,2023,4,4,Nocturna,5,05,CLEI (Ciclos lectivos integrados - decreto 3011 de 1997),1,01,"Desplazado, víctima del conflicto armado",2,12
218860000275,10,2023,2,2,Mañana,1,01,Preescolar,1,01,"Desplazado, víctima del conflicto armado",1,0
218860000275,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",4,2
283479000087,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",4,5
273443000166,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",5,3
273443000166,10,2023,2,2,Mañana,3,03,Básica secundaria,1,01,"Desplazado, víctima del conflicto armado",4,1
205837003351,10,2023,2,2,Mañana,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",3,1
105001005878,10,2023,3,3,Tarde,2,02,Básica primaria,1,01,"Desplazado, víctima del conflicto armado",48,40
