Latitude,Longitude,STATUS_
57.6400000024,-3.9667,Closed
57.8400000024,-4.1067,Closed
60.4317000024,-0.7383,Closed
60.7050000027,-0.9917,Closed
60.1150000026,-1.3517,Closed
55.9988000023,-3.41,Closed
56.5133000022,-6.7817,Closed
57.6500000033,-3.9833,Closed
57.4983000033,-4.25,Disused
58.1358000059,-5.33,Closed
56.0625000056,-6.1792,Closed
57.7583000112,-3.2667,Closed
59.5567000121,-1.5917,Closed
57.597800011,-7.0955,Closed
56.4500000149,-2.9475,Closed
55.6208000144,-6.2,Open
57.6042000179,-3.9,Closed
58.6350000188,-3.5,Closed
58.6592000189,-3.1183,Closed
58.898300019,-3.2033,Closed
58.7883000188,-3.075,Closed
60.3430000201,-1.0647,Closed
60.3478000202,-1.068,Closed
60.18830002,-1.1267,Closed
60.4867000201,-1.16,Disused
60.4650000203,-1.1283,Disused
56.8585000174,-6.1083,Closed
57.0535000176,-6.4515,Closed
57.7250000182,-6.995,Closed
57.0433000176,-6.4503,Closed
55.850000017,-5.05,Open
58.9625000248,-3.4333,Disused
58.9500000249,-3.3708,Closed
56.4550000226,-2.9367,Closed
56.1950000223,-2.7067,Closed
54.8500000212,-5.1833,Closed
55.4473000218,-5.5275,Closed
57.6833000092,-1.8783,Disused
57.0308000089,-5.71,Disused
58.4450000599,-3.025,Closed
57.5167000577,-1.7167,Closed
57.4917000576,-1.78,Closed
57.1167000567,-2.0,Open
59.0250000612,-2.9317,Closed
59.1750000616,-2.5417,Closed
60.133300064,-1.3,Closed
56.9625000564,-2.1317,Closed
56.9500000564,-2.1667,Disused
56.6583000557,-2.4417,Open
56.5333000554,-2.5417,Open
56.0967000545,-3.1233,Closed
56.1633000547,-2.98,Open
55.875000054,-2.0,Open
55.6167000536,-4.9937,Closed
55.6167000536,-4.9895,Closed
55.7400000538,-4.8867,Closed
55.250000053,-4.9,Open
55.2475000528,-4.8845,Closed
55.5025000534,-4.7133,Open
58.0583000688,-3.6333,Closed
56.208300035,-2.64,Closed
55.9692000346,-4.8775,Open
57.5125000832,-1.725,Open
58.641700087,-3.4833,Closed
59.1000002486,-10.9832998893,Closed
57.7250002336,-3.5167,Open
57.7033002333,-2.9533,Open
57.6900002332,-2.4717,Open
55.7742602164,-1.94333,Closed
54.9000002094,-5.3083,Disused
54.9000002094,-5.325,Closed
55.6633002156,-5.0133,Disused
55.9682002181,-4.8732,Closed
56.0333008765,-2.45,Disused
56.4167020028,-2.1667,Closed
56.0750019767,-2.1217,Closed
54.7584365975,-5.25044413936,Closed
54.6926485845,-4.89316513148,Closed
54.6927509546,-4.89150017094,Closed
54.6953163564,-4.89384407194,Closed
54.6950295843,-4.8939453813,Closed
54.535800934,-4.5583496095,Closed
54.6541500095,-4.3774995805,Closed
55.6566505435,-5.694199562,Closed
57.4829260948,-1.7775101974,Closed
58.5927505489,-3.74533462687,Closed
60.121700287,-2.039999008,Open
56.4521471534,-2.87713695388,Closed
56.4612503055,-2.88999939,Disused
56.4587516785,-2.820849419,Closed
56.4489611218,-3.01137700583,Closed
56.448749542,-2.9999990465,Closed
56.4558444163,-2.92411162625,Open
56.051301956,-3.17328311302,Closed
56.051501592,-3.17104468755,Closed
56.013999939,-3.1087493895,Open
56.0140740356,-3.25424758675,Open
56.017501831,-3.276650429,Open
56.0170435893,-3.28745533793,Open
56.0330043757,-3.59061780101,Open
55.982501984,-2.934999466,Closed
56.0050004323,-3.35418167961,Closed
58.1843337699,-6.37216636253,Closed
57.892501831,-5.1566495895,Disused
58.4537569681,-5.0726641983,Closed
56.0085433714,-3.13269328119,Closed
56.0142310687,-3.10909451287,Closed
59.5,-8.7499999925,Closed
57.6859016415,-3.9917001725,Open
57.6029705295,-4.03044360334,Disused
57.6024592096,-4.02984549904,Closed
57.67550087,-4.2454490665,Closed
57.4983501435,-4.249599457,Closed
57.516651154,-1.7166490555,Closed
57.5047538508,-1.76252162616,Closed
58.6354128396,-3.49460578075,Closed
57.6035010252,-4.02369786478,Closed
55.4950023666,-4.72559979474,Closed
57.6898000007,-4.02249999996,Closed
56.0238333335,-3.72691666673,Open
55.9842235774,-3.22113008125,Open
56.0242029671,-3.39063447058,Disused
57.7242499999,-3.27827339222,Disused
58.0097777777,-3.84383333333,Open
55.2445544279,-4.86127691486,Open
57.6933947002,-4.03151824706,Disused
54.8381913577,-4.05074074085,Open
55.3368333338,-4.82033333283,Open
55.9954735884,-3.41106174903,Disused
56.3382746,-2.78425044758,Disused
56.2041048606,-2.765475016,Disused
57.5030013919,-1.78311364218,Open
57.5927432964,-3.86264712296,Open
57.7243248892,-3.27550022257,Open
57.671084022,-2.52540872378,Disused
54.8387777777,-4.05608992705,Open
55.208300034,-2.63999999996,Open
