concepto,elemento,estadistico,desglose,categoria,unidadMedida,ola,valor
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2022,76.9328
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2022,128.17260000000002
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2022,189.8726
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2022,223.96025
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2022,221.2544
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2022,20.0694
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2020,78.84200709205321
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2020,131.19404590526162
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2020,180.94263153913948
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2020,222.92622557853525
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2020,186.05339570172384
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2020,26.99617901695123
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2017,74.1020199771286
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2017,130.68249014533734
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2017,199.3293792299408
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2017,206.2758186443497
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2017,147.98010603181203
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2017,6.052157010084208
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2014,81.08146508873844
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2014,145.67984051427717
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2014,219.34477195181856
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2014,242.7424645665592
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2014,148.7409488541956
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2014,5.586135446255045
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2011,138.28408575881087
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2011,193.72491077090737
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2011,277.86451071685445
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2011,229.9618789858547
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2011,183.2473186569604
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2011,81.8317712473573
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2008,192.74300937843847
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2008,253.98491214795737
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2008,347.9981487018612
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2008,247.1213381739436
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Mayor de 75,Miles de Euros (),2008,194.9003384548753
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Menor de 35,Miles de Euros (),2008,95.9297475008779
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 35 y 44,Miles de Euros (),2005,217.66232883887025
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 45 y 54,Miles de Euros (),2005,302.6332816810588
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 55 y 64,Miles de Euros (),2005,317.0797985685735
RIQUEZA,RIQUEZA NETA,MEDIANA,EDAD DEL CABEZA DE FAMILIA,Entre 65 y 74,Miles de Euros (),2005,249.6760234372337
