municipio,año,casos,poblacion,casos_per_100k,key
ABEJORRAL,1994,1,21246.0,4.706768332862657,ABEJORRAL_1994
ABEJORRAL,1996,1,21246.0,4.706768332862657,ABEJORRAL_1996
ABEJORRAL,1998,2,21246.0,9.413536665725314,ABEJORRAL_1998
ABEJORRAL,1999,6,21246.0,28.24060999717594,ABEJORRAL_1999
ABEJORRAL,2000,11,21246.0,51.77445166148922,ABEJORRAL_2000
ABEJORRAL,2001,13,21246.0,61.18798832721454,ABEJORRAL_2001
ABEJORRAL,2002,13,21246.0,61.18798832721454,ABEJORRAL_2002
ABEJORRAL,2003,6,21246.0,28.24060999717594,ABEJORRAL_2003
ABEJORRAL,2004,4,21246.0,18.827073331450627,ABEJORRAL_2004
ABEJORRAL,2005,2,21246.0,9.413536665725314,ABEJORRAL_2005
ABEJORRAL,2006,1,21246.0,4.706768332862657,ABEJORRAL_2006
ABREGO,1989,2,,,ABREGO_1989
ABREGO,1990,4,,,ABREGO_1990
ABREGO,1991,5,,,ABREGO_1991
ABREGO,1992,9,,,ABREGO_1992
ABREGO,1993,5,,,ABREGO_1993
ABREGO,1994,4,,,ABREGO_1994
ABREGO,1995,9,,,ABREGO_1995
ABREGO,1996,5,,,ABREGO_1996
ABREGO,1997,30,,,ABREGO_1997
ABREGO,1998,6,,,ABREGO_1998
ABREGO,1999,12,,,ABREGO_1999
ABREGO,2000,32,,,ABREGO_2000
ABREGO,2001,15,,,ABREGO_2001
ABREGO,2002,4,,,ABREGO_2002
ABREGO,2003,4,,,ABREGO_2003
ABREGO,2004,2,,,ABREGO_2004
ABREGO,2005,3,,,ABREGO_2005
ABREGO,2006,4,,,ABREGO_2006
ABREGO,2007,1,,,ABREGO_2007
ABREGO,2015,2,,,ABREGO_2015
ABREGO,2017,1,,,ABREGO_2017
ABREGO,2018,1,,,ABREGO_2018
ABREGO,2019,1,,,ABREGO_2019
ABREGO,2020,3,,,ABREGO_2020
ABREGO,2021,3,,,ABREGO_2021
ABREGO,2022,1,,,ABREGO_2022
ABRIAQUI,1996,1,,,ABRIAQUI_1996
ABRIAQUI,1998,4,,,ABRIAQUI_1998
ABRIAQUI,2000,3,,,ABRIAQUI_2000
ABRIAQUI,2001,2,,,ABRIAQUI_2001
ABRIAQUI,2003,2,,,ABRIAQUI_2003
ABRIAQUI,2004,2,,,ABRIAQUI_2004
ABRIAQUI,2005,1,,,ABRIAQUI_2005
ABRIAQUI,2006,2,,,ABRIAQUI_2006
ACACIAS,1987,2,,,ACACIAS_1987
ACACIAS,1988,1,,,ACACIAS_1988
ACACIAS,1989,1,,,ACACIAS_1989
ACACIAS,1990,1,,,ACACIAS_1990
ACACIAS,1991,5,,,ACACIAS_1991
ACACIAS,1992,3,,,ACACIAS_1992
ACACIAS,1993,1,,,ACACIAS_1993
ACACIAS,1994,2,,,ACACIAS_1994
ACACIAS,1995,1,,,ACACIAS_1995
ACACIAS,1996,4,,,ACACIAS_1996
ACACIAS,1997,14,,,ACACIAS_1997
ACACIAS,1998,7,,,ACACIAS_1998
ACACIAS,1999,12,,,ACACIAS_1999
ACACIAS,2000,11,,,ACACIAS_2000
ACACIAS,2001,52,,,ACACIAS_2001
ACACIAS,2002,20,,,ACACIAS_2002
ACACIAS,2003,14,,,ACACIAS_2003
ACACIAS,2004,13,,,ACACIAS_2004
ACACIAS,2005,4,,,ACACIAS_2005
ACACIAS,2006,1,,,ACACIAS_2006
ACACIAS,2007,1,,,ACACIAS_2007
ACACIAS,2008,1,,,ACACIAS_2008
ACACIAS,2010,1,,,ACACIAS_2010
ACACIAS,2011,2,,,ACACIAS_2011
ACACIAS,2016,1,,,ACACIAS_2016
ACANDI,1986,1,,,ACANDI_1986
ACANDI,1988,1,,,ACANDI_1988
ACANDI,1990,1,,,ACANDI_1990
ACANDI,1991,3,,,ACANDI_1991
ACANDI,1992,2,,,ACANDI_1992
ACANDI,1993,1,,,ACANDI_1993
ACANDI,1995,2,,,ACANDI_1995
ACANDI,1996,4,,,ACANDI_1996
ACANDI,1997,15,,,ACANDI_1997
ACANDI,1999,6,,,ACANDI_1999
ACANDI,2000,4,,,ACANDI_2000
ACANDI,2001,6,,,ACANDI_2001
ACANDI,2002,2,,,ACANDI_2002
ACANDI,2005,1,,,ACANDI_2005
ACANDI,2006,1,,,ACANDI_2006
ACANDI,2010,1,,,ACANDI_2010
ACANDI,2013,1,,,ACANDI_2013
ACANDI,2015,1,,,ACANDI_2015
ACANDI,2017,1,,,ACANDI_2017
ACANDI,2020,1,,,ACANDI_2020
ACEVEDO,1985,4,25909.0,15.438650661932147,ACEVEDO_1985
ACEVEDO,1987,2,25909.0,7.719325330966074,ACEVEDO_1987
ACEVEDO,1988,1,25909.0,3.859662665483037,ACEVEDO_1988
ACEVEDO,1989,2,25909.0,7.719325330966074,ACEVEDO_1989
ACEVEDO,1995,1,25909.0,3.859662665483037,ACEVEDO_1995
ACEVEDO,1996,1,25909.0,3.859662665483037,ACEVEDO_1996
ACEVEDO,1997,2,25909.0,7.719325330966074,ACEVEDO_1997
ACEVEDO,1998,9,25909.0,34.73696398934733,ACEVEDO_1998
ACEVEDO,1999,4,25909.0,15.438650661932147,ACEVEDO_1999
ACEVEDO,2000,2,25909.0,7.719325330966074,ACEVEDO_2000
ACEVEDO,2001,4,25909.0,15.438650661932147,ACEVEDO_2001
ACEVEDO,2002,12,25909.0,46.31595198579644,ACEVEDO_2002
ACEVEDO,2003,11,25909.0,42.4562893203134,ACEVEDO_2003
ACEVEDO,2005,2,25909.0,7.719325330966074,ACEVEDO_2005
ACEVEDO,2007,4,25909.0,15.438650661932147,ACEVEDO_2007
ACEVEDO,2017,1,25909.0,3.859662665483037,ACEVEDO_2017
ACEVEDO,2023,1,25909.0,3.859662665483037,ACEVEDO_2023
ACHI,1985,13,,,ACHI_1985
ACHI,1986,2,,,ACHI_1986
ACHI,1987,2,,,ACHI_1987
ACHI,1988,1,,,ACHI_1988
ACHI,1989,1,,,ACHI_1989
ACHI,1990,3,,,ACHI_1990
ACHI,1992,1,,,ACHI_1992
ACHI,1993,1,,,ACHI_1993
ACHI,1994,3,,,ACHI_1994
