municipio,year,hectares_lost
EL ENCANTO,2001,240
LA CHORRERA,2001,217
LA PEDRERA,2001,134
LA VICTORIA,2001,32
LETICIA,2001,193
MIRITI-PARANA,2001,112
PUERTO ALEGRIA,2001,83
PUERTO ARICA,2001,43
PUERTO NARI¥O,2001,55
PUERTO SANTANDER,2001,53
TARAPACA,2001,80
ABEJORRAL,2001,124
ABRIAQUI,2001,23
ALEJANDRIA,2001,7
AMAGA,2001,16
AMALFI,2001,270
ANDES,2001,55
ANGELOPOLIS,2001,14
ANGOSTURA,2001,127
ANORI,2001,437
ANZA,2001,161
APARTADO,2001,210
ARBOLETES,2001,444
ARGELIA,2001,46
ARMENIA,2001,35
BARBOSA,2001,8
BELLO,2001,79
BELMIRA,2001,29
BETANIA,2001,56
BETULIA,2001,153
BRICE¥O,2001,42
BURITICA,2001,40
CAICEDO,2001,65
CALDAS,2001,41
CAMPAMENTO,2001,34
CARACOLI,2001,217
CARAMANTA,2001,11
CAREPA,2001,181
CAROLINA,2001,12
CAUCASIA,2001,536
CA¥ASGORDAS,2001,52
CHIGORODO,2001,258
CISNEROS,2001,4
CIUDAD BOLIVAR,2001,151
COCORNA,2001,17
CONCEPCION,2001,5
CONCORDIA,2001,98
COPACABANA,2001,11
CACERES,2001,579
DABEIBA,2001,224
DON MATIAS,2001,28
EBEJICO,2001,150
EL BAGRE,2001,1383
EL CARMEN DE VIBORAL,2001,18
SOPETRAN,2001,241
ENTRERRIOS,2001,21
ENVIGADO,2001,15
FREDONIA,2001,24
FRONTINO,2001,138
GIRALDO,2001,11
GIRARDOTA,2001,18
GRANADA,2001,4
GUADALUPE,2001,10
GUARNE,2001,51
GUATAPE,2001,2
GOMEZ PLATA,2001,60
HELICONIA,2001,21
HISPANIA,2001,18
ITAGUI,2001,1
ITUANGO,2001,156
JARDIN,2001,16
JERICO,2001,30
LA CEJA,2001,7
LA ESTRELLA,2001,24
LA PINTADA,2001,32
LA UNION,2001,4
LIBORINA,2001,44
MACEO,2001,471
MARINILLA,2001,4
MEDELLIN,2001,191
MONTEBELLO,2001,15
MURINDO,2001,29
MUTATA,2001,301
NARI¥O,2001,21
NECHI,2001,316
NECOCLI,2001,832
OLAYA,2001,47
PEQUE,2001,43
PE¥OL,2001,4
PUEBLORRICO,2001,32
PUERTO BERRIO,2001,1706
PUERTO NARE,2001,553
PUERTO TRIUNFO,2001,334
REMEDIOS,2001,1690
RETIRO,2001,160
RIONEGRO,2001,40
SABANALARGA,2001,26
SABANETA,2001,3
SALGAR,2001,139
SAN ANDRES,2001,21
