year,farc_category,loss_ha
2001,High,140726
2001,Low,23409
2001,Medium,40120
2001,None,25708
2002,High,129563
2002,Low,13605
2002,Medium,24725
2002,None,14324
2003,High,77343
2003,Low,14613
2003,Medium,20699
2003,None,9740
2004,High,170217
2004,Low,19444
2004,Medium,39569
2004,None,24611
2005,High,130920
2005,Low,13308
2005,Medium,29850
2005,None,14591
2006,High,125539
2006,Low,15778
2006,Medium,33065
2006,None,15491
2007,High,193483
2007,Low,17167
2007,Medium,35304
2007,None,23074
2008,High,161767
2008,Low,17482
2008,Medium,33520
2008,None,18957
2009,High,155235
2009,Low,20102
2009,Medium,41043
2009,None,21301
2010,High,131416
2010,Low,14735
2010,Medium,32594
2010,None,18247
2011,High,131928
2011,Low,15011
2011,Medium,28949
2011,None,13909
2012,High,145854
2012,Low,19508
2012,Medium,42286
2012,None,19940
2013,High,103982
2013,Low,7967
2013,Medium,16767
2013,None,10125
2014,High,149694
2014,Low,13117
2014,Medium,25131
2014,None,14056
2015,High,101085
2015,Low,9325
2015,Medium,20309
2015,None,10175
2016,High,203928
2016,Low,18726
2016,Medium,43331
2016,None,24859
2017,High,304327
2017,Low,27076
2017,Medium,61287
2017,None,31942
2018,High,273922
2018,Low,16742
2018,Medium,35290
2018,None,26267
2019,High,196719
2019,Low,14221
2019,Medium,34238
2019,None,23292
2020,High,246342
2020,Low,17737
2020,Medium,34661
2020,None,25462
2021,High,199073
2021,Low,12566
2021,Medium,31589
2021,None,21918
2022,High,200345
2022,Low,13721
2022,Medium,29610
2022,None,22014
2023,High,130563
2023,Low,15946
2023,Medium,34492
2023,None,15632
2024,High,155849
2024,Low,12612
2024,Medium,25228
2024,None,19329
