Código DANE de Municipio,Municipio,Departamento,Año,Sexo,Latitud,Longitud,tipo_violencia
25530,PARATEBUENO,CUNDINAMARCA,1998,HOMBRE,4.368158959,-73.241661397,Masacres
25530,PARATEBUENO,CUNDINAMARCA,1998,HOMBRE,4.368158959,-73.241661397,Masacres
25530,PARATEBUENO,CUNDINAMARCA,1998,MUJER,4.368158959,-73.241661397,Masacres
25530,PARATEBUENO,CUNDINAMARCA,1998,HOMBRE,4.368158959,-73.241661397,Masacres
25530,PARATEBUENO,CUNDINAMARCA,1998,HOMBRE,4.368158959,-73.241661397,Masacres
05034,ANDES,ANTIOQUIA,2025,SIN INFORMACION,5.6126186634,-75.9173376495,Masacres
05034,ANDES,ANTIOQUIA,2025,SIN INFORMACION,5.6126186634,-75.9173376495,Masacres
05034,ANDES,ANTIOQUIA,2025,SIN INFORMACION,5.6126186634,-75.9173376495,Masacres
05034,ANDES,ANTIOQUIA,2025,SIN INFORMACION,5.6126186634,-75.9173376495,Masacres
54498,OCAÑA,NORTE DE SANTANDER,2025,HOMBRE,8.206637527,-73.337650332,Masacres
54498,OCAÑA,NORTE DE SANTANDER,2025,HOMBRE,8.206637527,-73.337650332,Masacres
54498,OCAÑA,NORTE DE SANTANDER,2025,MUJER,8.206637527,-73.337650332,Masacres
54498,OCAÑA,NORTE DE SANTANDER,2025,HOMBRE,8.206637527,-73.337650332,Masacres
54498,OCAÑA,NORTE DE SANTANDER,2025,HOMBRE,8.206637527,-73.337650332,Masacres
05893,YONDO,ANTIOQUIA,2024,HOMBRE,6.925159318,-74.158240414,Masacres
05893,YONDO,ANTIOQUIA,2024,MUJER,6.925159318,-74.158240414,Masacres
05893,YONDO,ANTIOQUIA,2024,HOMBRE,6.925159318,-74.158240414,Masacres
05893,YONDO,ANTIOQUIA,2024,HOMBRE,6.925159318,-74.158240414,Masacres
05893,YONDO,ANTIOQUIA,2024,HOMBRE,6.925159318,-74.158240414,Masacres
44001,RIOHACHA,LA GUAJIRA,2024,HOMBRE,11.242972141,-72.958763152,Masacres
44001,RIOHACHA,LA GUAJIRA,2024,HOMBRE,11.242972141,-72.958763152,Masacres
44001,RIOHACHA,LA GUAJIRA,2024,HOMBRE,11.242972141,-72.958763152,Masacres
44001,RIOHACHA,LA GUAJIRA,2024,HOMBRE,11.242972141,-72.958763152,Masacres
27361,ISTMINA,CHOCO,2007,HOMBRE,4.586818665,-77.000907374,Masacres
27361,ISTMINA,CHOCO,2007,HOMBRE,4.586818665,-77.000907374,Masacres
27361,ISTMINA,CHOCO,2007,HOMBRE,4.586818665,-77.000907374,Masacres
27361,ISTMINA,CHOCO,2007,HOMBRE,4.586818665,-77.000907374,Masacres
13458,MONTECRISTO,BOLIVAR,2014,SIN INFORMACION,8.01710024,-74.463429112,Masacres
13458,MONTECRISTO,BOLIVAR,2014,SIN INFORMACION,8.01710024,-74.463429112,Masacres
13458,MONTECRISTO,BOLIVAR,2014,SIN INFORMACION,8.01710024,-74.463429112,Masacres
13458,MONTECRISTO,BOLIVAR,2014,SIN INFORMACION,8.01710024,-74.463429112,Masacres
05400,LA UNION,ANTIOQUIA,2025,MUJER,5.940434685,-75.354290227,Masacres
05400,LA UNION,ANTIOQUIA,2025,HOMBRE,5.940434685,-75.354290227,Masacres
05400,LA UNION,ANTIOQUIA,2025,HOMBRE,5.940434685,-75.354290227,Masacres
05400,LA UNION,ANTIOQUIA,2025,HOMBRE,5.940434685,-75.354290227,Masacres
44430,MAICAO,LA GUAJIRA,2005,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2005,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2005,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2005,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2000,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2000,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2000,MUJER,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2000,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.381577644,-72.295008177,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.381577644,-72.295008177,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.381577644,-72.295008177,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.381577644,-72.295008177,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.378319,-72.241861,Masacres
44430,MAICAO,LA GUAJIRA,2002,HOMBRE,11.378319,-72.241861,Masacres
47001,SANTA MARTA,MAGDALENA,1988,HOMBRE,11.121894357,-73.885278551,Masacres
47001,SANTA MARTA,MAGDALENA,1988,HOMBRE,11.121894357,-73.885278551,Masacres
47001,SANTA MARTA,MAGDALENA,1988,HOMBRE,11.121894357,-73.885278551,Masacres
47001,SANTA MARTA,MAGDALENA,1988,HOMBRE,11.121894357,-73.885278551,Masacres
47001,SANTA MARTA,MAGDALENA,1988,HOMBRE,11.121894357,-73.885278551,Masacres
