año,municipio,departamento,categoria,grupo_especifico,tipo_violencia,lat,lon
1977,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,M19,AT_Atentados_Terroristas,4.316107698,-74.181072702
1978,FLORENCIA,CAQUETA,GUERRILLA,M19,AT_Atentados_Terroristas,1.618234,-75.609796
1982,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,M19,AT_Atentados_Terroristas,3.399043723,-76.57649259
1991,MANIZALES,CALDAS,GUERRILLA,EPL,AT_Atentados_Terroristas,5.08343301,-75.50727881
1989,SOACHA,CUNDINAMARCA,GRUPO PARAMILITAR,,AT_Atentados_Terroristas,4.581866267,-74.24029696
1998,BUCARAMANGA,SANTANDER,GUERRILLA,DISIDENCIA EPL,AT_Atentados_Terroristas,7.155833544,-73.11156997
1976,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,EPL,AT_Atentados_Terroristas,4.316107698,-74.1810727
1978,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,EPL,AT_Atentados_Terroristas,4.316107698,-74.1810727
1978,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,EPL,AT_Atentados_Terroristas,4.650173,-74.107359
1978,BUCARAMANGA,SANTANDER,DESCONOCIDO,,AT_Atentados_Terroristas,7.116381,-73.132582
1978,POPAYAN,CAUCA,OTRO ¿CUÁL?,,AT_Atentados_Terroristas,2.471704362,-76.59194419
1978,PLANETA RICA,CORDOBA,DESCONOCIDO,,AT_Atentados_Terroristas,8.181108488,-75.68923803
1979,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,ELN,AT_Atentados_Terroristas,4.650173,-74.107359
1979,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,EPL,AT_Atentados_Terroristas,3.414162,-76.521469
1981,ANSERMANUEVO,VALLE DEL CAUCA,DESCONOCIDO,,AT_Atentados_Terroristas,4.795927292,-76.02963049
1981,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,ELN,AT_Atentados_Terroristas,4.316107698,-74.1810727
1984,"BOGOTA, D.C.","BOGOTA, D. C.",GUERRILLA,FARC,AT_Atentados_Terroristas,4.316107698,-74.1810727
