departamento,municipio,municipio_id,year,loss_ha,key
Amazonas,El Encanto,EL ENCANTO,2001,240,EL ENCANTO_2001
Amazonas,La Chorrera,LA CHORRERA,2001,217,LA CHORRERA_2001
Amazonas,La Pedrera,LA PEDRERA,2001,134,LA PEDRERA_2001
Amazonas,La Victoria,LA VICTORIA,2001,32,LA VICTORIA_2001
Amazonas,Leticia,LETICIA,2001,193,LETICIA_2001
Amazonas,Mirití-Paraná,MIRITI-PARANA,2001,112,MIRITI-PARANA_2001
Amazonas,Puerto Alegria,PUERTO ALEGRIA,2001,83,PUERTO ALEGRIA_2001
Amazonas,Puerto Arica,PUERTO ARICA,2001,43,PUERTO ARICA_2001
Amazonas,Puerto Nariño,PUERTO NARINO,2001,55,PUERTO NARINO_2001
Amazonas,Puerto Santander,PUERTO SANTANDER,2001,53,PUERTO SANTANDER_2001
Amazonas,Tarapacá,TARAPACA,2001,80,TARAPACA_2001
Antioquia,Abejorral,ABEJORRAL,2001,124,ABEJORRAL_2001
Antioquia,Abriaquí,ABRIAQUI,2001,23,ABRIAQUI_2001
Antioquia,Alejandría,ALEJANDRIA,2001,7,ALEJANDRIA_2001
Antioquia,Amagá,AMAGA,2001,16,AMAGA_2001
Antioquia,Amalfi,AMALFI,2001,270,AMALFI_2001
Antioquia,Andes,ANDES,2001,55,ANDES_2001
Antioquia,Angelópolis,ANGELOPOLIS,2001,14,ANGELOPOLIS_2001
Antioquia,Angostura,ANGOSTURA,2001,127,ANGOSTURA_2001
Antioquia,Anorí,ANORI,2001,437,ANORI_2001
Antioquia,Anzá,ANZA,2001,161,ANZA_2001
Antioquia,Apartadó,APARTADO,2001,210,APARTADO_2001
Antioquia,Arboletes,ARBOLETES,2001,444,ARBOLETES_2001
Antioquia,Argelia,ARGELIA,2001,46,ARGELIA_2001
Antioquia,Armenia,ARMENIA,2001,35,ARMENIA_2001
Antioquia,Barbosa,BARBOSA,2001,8,BARBOSA_2001
Antioquia,Bello,BELLO,2001,79,BELLO_2001
Antioquia,Belmira,BELMIRA,2001,29,BELMIRA_2001
Antioquia,Betania,BETANIA,2001,56,BETANIA_2001
Antioquia,Betulia,BETULIA,2001,153,BETULIA_2001
Antioquia,Briceño,BRICENO,2001,42,BRICENO_2001
Antioquia,Buriticá,BURITICA,2001,40,BURITICA_2001
Antioquia,Caicedo,CAICEDO,2001,65,CAICEDO_2001
Antioquia,Caldas,CALDAS,2001,41,CALDAS_2001
Antioquia,Campamento,CAMPAMENTO,2001,34,CAMPAMENTO_2001
Antioquia,Caracolí,CARACOLI,2001,217,CARACOLI_2001
Antioquia,Caramanta,CARAMANTA,2001,11,CARAMANTA_2001
Antioquia,Carepa,CAREPA,2001,181,CAREPA_2001
Antioquia,Carolina del Principe,CAROLINA DEL PRINCIPE,2001,12,CAROLINA DEL PRINCIPE_2001
Antioquia,Caucasia,CAUCASIA,2001,536,CAUCASIA_2001
Antioquia,Cañasgordas,CANASGORDAS,2001,52,CANASGORDAS_2001
Antioquia,Chigorodó,CHIGORODO,2001,258,CHIGORODO_2001
Antioquia,Cisneros,CISNEROS,2001,4,CISNEROS_2001
Antioquia,Ciudad Bolívar,CIUDAD BOLIVAR,2001,151,CIUDAD BOLIVAR_2001
Antioquia,Cocorná,COCORNA,2001,17,COCORNA_2001
Antioquia,Concepción,CONCEPCION,2001,5,CONCEPCION_2001
Antioquia,Concordia,CONCORDIA,2001,98,CONCORDIA_2001
Antioquia,Copacabana,COPACABANA,2001,11,COPACABANA_2001
Antioquia,Cáceres,CACERES,2001,579,CACERES_2001
Antioquia,Dabeiba,DABEIBA,2001,224,DABEIBA_2001
Antioquia,Don Matías,DON MATIAS,2001,28,DON MATIAS_2001
Antioquia,Ebéjico,EBEJICO,2001,150,EBEJICO_2001
Antioquia,El Bagre,EL BAGRE,2001,1383,EL BAGRE_2001
Antioquia,El Carmen de Viboral,EL CARMEN DE VIBORAL,2001,18,EL CARMEN DE VIBORAL_2001
Antioquia,El Sopetrán,EL SOPETRAN,2001,241,EL SOPETRAN_2001
Antioquia,Entrerríos,ENTRERRIOS,2001,21,ENTRERRIOS_2001
Antioquia,Envigado,ENVIGADO,2001,15,ENVIGADO_2001
Antioquia,Fredonia,FREDONIA,2001,24,FREDONIA_2001
Antioquia,Frontino,FRONTINO,2001,138,FRONTINO_2001
Antioquia,Giraldo,GIRALDO,2001,11,GIRALDO_2001
Antioquia,Girardota,GIRARDOTA,2001,18,GIRARDOTA_2001
Antioquia,Granada,GRANADA,2001,4,GRANADA_2001
Antioquia,Guadalupe,GUADALUPE,2001,10,GUADALUPE_2001
Antioquia,Guarné,GUARNE,2001,51,GUARNE_2001
Antioquia,Guatapé,GUATAPE,2001,2,GUATAPE_2001
Antioquia,Gómez Plata,GOMEZ PLATA,2001,60,GOMEZ PLATA_2001
Antioquia,Heliconia,HELICONIA,2001,21,HELICONIA_2001
Antioquia,Hispania,HISPANIA,2001,18,HISPANIA_2001
