drivers_type,loss_year,percent
Hard commodities,2001,0.3134772474058868
Logging,2001,1.4978586691901785
Other natural disturbances,2001,1.6348915615079058
Permanent agriculture,2001,89.84235178795835
Settlements & Infrastructure,2001,0.41584245704411094
Shifting cultivation,2001,5.217741459949441
Unknown,2001,0.9959367264604481
Wildfire,2001,0.08190009048368302
Hard commodities,2002,0.28972720282753267
Logging,2002,2.2633423444556633
Other natural disturbances,2002,1.279978791648582
Permanent agriculture,2002,88.51750853005169
Settlements & Infrastructure,2002,0.3040452512888767
Shifting cultivation,2002,6.569476392472033
Unknown,2002,0.7202709392477236
Wildfire,2002,0.05565054800790184
Hard commodities,2003,0.3628203460575902
Logging,2003,1.8966820596078686
Other natural disturbances,2003,2.0294510734578077
Permanent agriculture,2003,88.43834531964671
Settlements & Infrastructure,2003,0.2325154156074359
Shifting cultivation,2003,6.083835324359928
Unknown,2003,0.7892414746568541
Wildfire,2003,0.16710898660580267
Hard commodities,2004,0.22688434409045286
Logging,2004,2.0538347302226776
Other natural disturbances,2004,1.4144514637601033
Permanent agriculture,2004,89.62752285761833
Settlements & Infrastructure,2004,0.28894555948811274
Shifting cultivation,2004,5.614220778080859
Unknown,2004,0.6493483293422941
Wildfire,2004,0.12479193739718097
Hard commodities,2005,0.396670120601838
Logging,2005,2.332914565388148
Other natural disturbances,2005,1.438929860792909
Permanent agriculture,2005,90.55975194443319
Settlements & Infrastructure,2005,0.3630729938064592
Shifting cultivation,2005,4.183266652570369
Unknown,2005,0.6685152937401772
Wildfire,2005,0.05687856866690917
Hard commodities,2006,0.38592933853999906
Logging,2006,2.569651187023645
Other natural disturbances,2006,1.1042813502643933
Permanent agriculture,2006,90.21164291433618
Settlements & Infrastructure,2006,0.45097257491015075
Shifting cultivation,2006,4.504352606131926
Unknown,2006,0.7049321012404083
Wildfire,2006,0.0682379275533034
Hard commodities,2007,0.3541631560114521
Logging,2007,1.1124676346207296
Other natural disturbances,2007,1.5093681136214538
Permanent agriculture,2007,92.3146325104516
Settlements & Infrastructure,2007,0.3566622547296865
Shifting cultivation,2007,3.671075568548871
Unknown,2007,0.5843210091511005
Wildfire,2007,0.09730975286509905
Hard commodities,2008,0.4405314582566465
Logging,2008,1.6604874845681898
Other natural disturbances,2008,1.4788679664714166
Permanent agriculture,2008,90.25716916253988
Settlements & Infrastructure,2008,0.3932221106042987
Shifting cultivation,2008,4.962926979596583
Unknown,2008,0.6450760639142037
Wildfire,2008,0.16171877404878332
Hard commodities,2009,0.5012374838914279
Logging,2009,1.9486687025159397
Other natural disturbances,2009,1.6072556163362106
Permanent agriculture,2009,90.55080981264499
Settlements & Infrastructure,2009,0.5113893441112177
Shifting cultivation,2009,4.00270158309
Unknown,2009,0.8229826825887392
Wildfire,2009,0.054954774821480604
Hard commodities,2010,0.5746685008919833
Logging,2010,2.184502641043658
Other natural disturbances,2010,2.0644957820886436
Permanent agriculture,2010,87.89524447137542
Settlements & Infrastructure,2010,0.374818544907337
Shifting cultivation,2010,5.7574932427479535
Unknown,2010,1.0442675358897304
Wildfire,2010,0.10450928105526167
Hard commodities,2011,0.8601638519287736
Logging,2011,2.4689651049901706
Other natural disturbances,2011,1.6983091095284983
Permanent agriculture,2011,89.49239326433886
Settlements & Infrastructure,2011,0.3989154558294413
Shifting cultivation,2011,3.9160898681132226
Unknown,2011,1.1076941995372642
Wildfire,2011,0.05746914573377327
Hard commodities,2012,0.7960125587669953
Logging,2012,2.81222620719038
Other natural disturbances,2012,2.1380012764344367
Permanent agriculture,2012,87.64216963964489
Settlements & Infrastructure,2012,0.5194734332364292
Shifting cultivation,2012,3.9663083106416903
Unknown,2012,2.032875708002321
Wildfire,2012,0.09293286608286248
Hard commodities,2013,0.37881901203158247
Logging,2013,2.9073105765003393
Other natural disturbances,2013,1.9569385173880764
Permanent agriculture,2013,86.73875203148228
Settlements & Infrastructure,2013,0.26341780433481
Shifting cultivation,2013,6.557529164734721
Unknown,2013,1.0449954396497576
Wildfire,2013,0.15223745387842638
Hard commodities,2014,0.9081182140525168
Logging,2014,2.657813641709159
Other natural disturbances,2014,2.3450073632607946
Permanent agriculture,2014,87.36368607510244
Settlements & Infrastructure,2014,0.22887778815379395
Shifting cultivation,2014,5.682659029267632
Unknown,2014,0.659270540848427
Wildfire,2014,0.15456734760524593
Hard commodities,2015,0.7774550653559942
Logging,2015,2.3076001530991026
Other natural disturbances,2015,2.9002071778121965
Permanent agriculture,2015,87.87442629741861
Settlements & Infrastructure,2015,0.1628778792345339
Shifting cultivation,2015,5.4804797027756305
Unknown,2015,0.30473490717450125
Wildfire,2015,0.1922188171294269
Hard commodities,2016,0.3830148611119141
Logging,2016,2.101180301979067
Other natural disturbances,2016,3.8421272951408127
Permanent agriculture,2016,80.93481549502074
Settlements & Infrastructure,2016,0.13020308921858395
Shifting cultivation,2016,5.236926967620216
Unknown,2016,0.2861910892319107
Wildfire,2016,7.085540900676744
Hard commodities,2017,0.5867515263555912
Logging,2017,1.6492060306406067
Other natural disturbances,2017,2.4400847343150267
Permanent agriculture,2017,89.76789933669758
Settlements & Infrastructure,2017,0.1601488637272502
Shifting cultivation,2017,4.713637668636204
Unknown,2017,0.16906648317653228
Wildfire,2017,0.5132053564512071
Hard commodities,2018,0.38207728755185316
Logging,2018,1.2659946888830473
Other natural disturbances,2018,1.4861876862571506
Permanent agriculture,2018,92.15880556461717
Settlements & Infrastructure,2018,0.11230008976750806
Shifting cultivation,2018,4.006402479369449
Unknown,2018,0.13003688133771948
Wildfire,2018,0.4581953222161064
Hard commodities,2019,0.4426075687761869
Logging,2019,2.0970625551026174
Other natural disturbances,2019,3.4076345796971363
Permanent agriculture,2019,87.02863632638476
Settlements & Infrastructure,2019,0.11038188462561727
Shifting cultivation,2019,4.83769105607517
Unknown,2019,0.19318023910799204
Wildfire,2019,1.882805790230525
Hard commodities,2020,0.3404777117219679
Logging,2020,2.670785521882521
Other natural disturbances,2020,1.6673800256132636
Permanent agriculture,2020,88.65276636564917
Settlements & Infrastructure,2020,0.08304300175139712
Shifting cultivation,2020,5.2229555294389085
Unknown,2020,0.18415408204876832
Wildfire,2020,1.1784377618939925
Hard commodities,2021,0.4200887889132669
Logging,2021,1.7202180781594596
Other natural disturbances,2021,1.3600172289059442
Permanent agriculture,2021,91.18203050087739
Settlements & Infrastructure,2021,0.1079348774101198
Shifting cultivation,2021,4.7511969417779865
Unknown,2021,0.22122786128519695
Wildfire,2021,0.2372857226706485
Hard commodities,2022,0.4957172957378484
Logging,2022,1.7579833436747183
Other natural disturbances,2022,1.3479264805796238
Permanent agriculture,2022,90.00709947877698
Settlements & Infrastructure,2022,0.0935183486910293
Shifting cultivation,2022,5.50507109388089
Unknown,2022,0.18275794971892684
Wildfire,2022,0.6099260089399763
Hard commodities,2023,1.6675949948315303
Logging,2023,2.76479718720676
Other natural disturbances,2023,2.2598094304879144
Permanent agriculture,2023,86.56976114244006
Settlements & Infrastructure,2023,0.16286888434093716
Shifting cultivation,2023,6.060713134773168
Unknown,2023,0.11563285108956325
Wildfire,2023,0.3988223748300666
Hard commodities,2024,0.605638345881193
Logging,2024,3.282039187217747
Other natural disturbances,2024,1.5471364841945972
Permanent agriculture,2024,89.1165398189821
Settlements & Infrastructure,2024,0.1289366187806297
Shifting cultivation,2024,4.495045332092679
Unknown,2024,0.13142531393704773
Wildfire,2024,0.6932388989140017
