key,municipio_norm,year,departamento,poblacion,total_casos,total_victimas,casos_per_100k
ABEJORRAL_2001,ABEJORRAL,2001,ANTIOQUIA,21246.0,8.0,6.0,37.654146662901255
ABEJORRAL_2002,ABEJORRAL,2002,ANTIOQUIA,21246.0,1.0,0.0,4.706768332862657
ABEJORRAL_2003,ABEJORRAL,2003,ANTIOQUIA,21246.0,3.0,1.0,14.12030499858797
ABEJORRAL_2004,ABEJORRAL,2004,ANTIOQUIA,21246.0,1.0,1.0,4.706768332862657
ABEJORRAL_2005,ABEJORRAL,2005,,21246.0,0.0,0.0,0.0
ABEJORRAL_2006,ABEJORRAL,2006,,21246.0,0.0,0.0,0.0
ABEJORRAL_2007,ABEJORRAL,2007,,21246.0,0.0,0.0,0.0
ABEJORRAL_2008,ABEJORRAL,2008,,21246.0,0.0,0.0,0.0
ABEJORRAL_2009,ABEJORRAL,2009,,21246.0,0.0,0.0,0.0
ABEJORRAL_2010,ABEJORRAL,2010,,21246.0,0.0,0.0,0.0
ABEJORRAL_2011,ABEJORRAL,2011,,21246.0,0.0,0.0,0.0
ABEJORRAL_2012,ABEJORRAL,2012,,21246.0,0.0,0.0,0.0
ABEJORRAL_2013,ABEJORRAL,2013,,21246.0,0.0,0.0,0.0
ABEJORRAL_2014,ABEJORRAL,2014,,21246.0,0.0,0.0,0.0
ABEJORRAL_2015,ABEJORRAL,2015,,21246.0,0.0,0.0,0.0
ABEJORRAL_2016,ABEJORRAL,2016,,21246.0,0.0,0.0,0.0
ABEJORRAL_2017,ABEJORRAL,2017,,21246.0,0.0,0.0,0.0
ABEJORRAL_2018,ABEJORRAL,2018,,21246.0,0.0,0.0,0.0
ABEJORRAL_2019,ABEJORRAL,2019,,21246.0,0.0,0.0,0.0
ABEJORRAL_2020,ABEJORRAL,2020,,21246.0,0.0,0.0,0.0
ABEJORRAL_2021,ABEJORRAL,2021,,21246.0,0.0,0.0,0.0
ABEJORRAL_2022,ABEJORRAL,2022,,21246.0,0.0,0.0,0.0
ABEJORRAL_2023,ABEJORRAL,2023,,21246.0,0.0,0.0,0.0
ABEJORRAL_2024,ABEJORRAL,2024,,21246.0,0.0,0.0,0.0
ABREGO_2001,ABREGO,2001,,34732.0,0.0,0.0,0.0
ABREGO_2002,ABREGO,2002,,34732.0,0.0,0.0,0.0
ABREGO_2003,ABREGO,2003,NORTE DE SANTANDER,34732.0,1.0,1.0,2.879189220315559
ABREGO_2004,ABREGO,2004,,34732.0,0.0,0.0,0.0
ABREGO_2005,ABREGO,2005,NORTE DE SANTANDER,34732.0,2.0,0.0,5.758378440631118
ABREGO_2006,ABREGO,2006,NORTE DE SANTANDER,34732.0,3.0,3.0,8.637567660946678
ABREGO_2007,ABREGO,2007,,34732.0,0.0,0.0,0.0
ABREGO_2008,ABREGO,2008,,34732.0,0.0,0.0,0.0
ABREGO_2009,ABREGO,2009,,34732.0,0.0,0.0,0.0
ABREGO_2010,ABREGO,2010,,34732.0,0.0,0.0,0.0
ABREGO_2011,ABREGO,2011,,34732.0,0.0,0.0,0.0
ABREGO_2012,ABREGO,2012,,34732.0,0.0,0.0,0.0
ABREGO_2013,ABREGO,2013,,34732.0,0.0,0.0,0.0
ABREGO_2014,ABREGO,2014,,34732.0,0.0,0.0,0.0
ABREGO_2015,ABREGO,2015,NORTE DE SANTANDER,34732.0,2.0,0.0,5.758378440631118
ABREGO_2016,ABREGO,2016,,34732.0,0.0,0.0,0.0
ABREGO_2017,ABREGO,2017,,34732.0,0.0,0.0,0.0
ABREGO_2018,ABREGO,2018,,34732.0,0.0,0.0,0.0
ABREGO_2019,ABREGO,2019,,34732.0,0.0,0.0,0.0
ABREGO_2020,ABREGO,2020,,34732.0,0.0,0.0,0.0
ABREGO_2021,ABREGO,2021,,34732.0,0.0,0.0,0.0
ABREGO_2022,ABREGO,2022,,34732.0,0.0,0.0,0.0
ABREGO_2023,ABREGO,2023,,34732.0,0.0,0.0,0.0
ABREGO_2024,ABREGO,2024,,34732.0,0.0,0.0,0.0
ABRIAQUI_2001,ABRIAQUI,2001,ANTIOQUIA,2864.0,1.0,1.0,34.91620111731844
ABRIAQUI_2002,ABRIAQUI,2002,,2864.0,0.0,0.0,0.0
ABRIAQUI_2003,ABRIAQUI,2003,ANTIOQUIA,2864.0,2.0,6.0,69.83240223463687
ABRIAQUI_2004,ABRIAQUI,2004,ANTIOQUIA,2864.0,2.0,2.0,69.83240223463687
ABRIAQUI_2005,ABRIAQUI,2005,ANTIOQUIA,2864.0,1.0,2.0,34.91620111731844
ABRIAQUI_2006,ABRIAQUI,2006,ANTIOQUIA,2864.0,2.0,0.0,69.83240223463687
ABRIAQUI_2007,ABRIAQUI,2007,,2864.0,0.0,0.0,0.0
ABRIAQUI_2008,ABRIAQUI,2008,,2864.0,0.0,0.0,0.0
ABRIAQUI_2009,ABRIAQUI,2009,,2864.0,0.0,0.0,0.0
ABRIAQUI_2010,ABRIAQUI,2010,,2864.0,0.0,0.0,0.0
ABRIAQUI_2011,ABRIAQUI,2011,,2864.0,0.0,0.0,0.0
ABRIAQUI_2012,ABRIAQUI,2012,,2864.0,0.0,0.0,0.0
ABRIAQUI_2013,ABRIAQUI,2013,,2864.0,0.0,0.0,0.0
ABRIAQUI_2014,ABRIAQUI,2014,,2864.0,0.0,0.0,0.0
ABRIAQUI_2015,ABRIAQUI,2015,,2864.0,0.0,0.0,0.0
ABRIAQUI_2016,ABRIAQUI,2016,,2864.0,0.0,0.0,0.0
ABRIAQUI_2017,ABRIAQUI,2017,,2864.0,0.0,0.0,0.0
ABRIAQUI_2018,ABRIAQUI,2018,,2864.0,0.0,0.0,0.0
ABRIAQUI_2019,ABRIAQUI,2019,,2864.0,0.0,0.0,0.0
ABRIAQUI_2020,ABRIAQUI,2020,,2864.0,0.0,0.0,0.0
ABRIAQUI_2021,ABRIAQUI,2021,,2864.0,0.0,0.0,0.0
ABRIAQUI_2022,ABRIAQUI,2022,,2864.0,0.0,0.0,0.0
ABRIAQUI_2023,ABRIAQUI,2023,,2864.0,0.0,0.0,0.0
ABRIAQUI_2024,ABRIAQUI,2024,,2864.0,0.0,0.0,0.0
ACACIAS_2001,ACACIAS,2001,META,94017.0,32.0,33.0,34.03639767276131
ACACIAS_2002,ACACIAS,2002,META,94017.0,7.0,5.0,7.445461990916535
ACACIAS_2003,ACACIAS,2003,,94017.0,0.0,0.0,0.0
ACACIAS_2004,ACACIAS,2004,META,94017.0,1.0,1.0,1.063637427273791
ACACIAS_2005,ACACIAS,2005,META,94017.0,1.0,1.0,1.063637427273791
ACACIAS_2006,ACACIAS,2006,,94017.0,0.0,0.0,0.0
ACACIAS_2007,ACACIAS,2007,META,94017.0,1.0,1.0,1.063637427273791
ACACIAS_2008,ACACIAS,2008,META,94017.0,1.0,1.0,1.063637427273791
ACACIAS_2009,ACACIAS,2009,,94017.0,0.0,0.0,0.0
ACACIAS_2010,ACACIAS,2010,META,94017.0,1.0,1.0,1.063637427273791
ACACIAS_2011,ACACIAS,2011,META,94017.0,1.0,0.0,1.063637427273791
ACACIAS_2012,ACACIAS,2012,,94017.0,0.0,0.0,0.0
ACACIAS_2013,ACACIAS,2013,,94017.0,0.0,0.0,0.0
