año_num,año,municipio,departamento,perpetrador,victimas,lat,lon,tipo_violencia
1991,1991,MANIZALES,CALDAS,EPL,4.0,5.08343301,-75.50727881,CAT_Atentados_Terroristas
1998,1998,BUCARAMANGA,SANTANDER,DISIDENCIA EPL,0.0,7.155833544,-73.11156997,CAT_Atentados_Terroristas
1976,1976,"BOGOTA, D.C.","BOGOTA, D. C.",EPL,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1978,1978,"BOGOTA, D.C.","BOGOTA, D. C.",EPL,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1978,1978,"BOGOTA, D.C.","BOGOTA, D. C.",EPL,0.0,4.650173,-74.107359,CAT_Atentados_Terroristas
1979,1979,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,0.0,4.650173,-74.107359,CAT_Atentados_Terroristas
1979,1979,SANTIAGO DE CALI,VALLE DEL CAUCA,EPL,0.0,3.414162,-76.521469,CAT_Atentados_Terroristas
1981,1981,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,1.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1984,1984,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1985,1985,MEDELLIN,ANTIOQUIA,ELN,0.0,6.250063,-75.578661,CAT_Atentados_Terroristas
2012,2012,ARGELIA,CAUCA,FARC,0.0,2.257427,-77.24905,CAT_Atentados_Terroristas
1992,1992,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,1.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1992,1992,SANTIAGO DE CALI,VALLE DEL CAUCA,FARC,3.0,3.414162,-76.521469,CAT_Atentados_Terroristas
1992,1992,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1995,1995,MEDELLIN,ANTIOQUIA,FARC,23.0,6.250063,-75.578661,CAT_Atentados_Terroristas
1995,1995,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1996,1996,MEDELLIN,ANTIOQUIA,ELN,1.0,6.250063,-75.578661,CAT_Atentados_Terroristas
1996,1996,MONTERIA,CORDOBA,FARC,0.0,8.584698016,-75.95055079,CAT_Atentados_Terroristas
1996,1996,MONTERIA,CORDOBA,FARC,4.0,8.584698016,-75.95055079,CAT_Atentados_Terroristas
1997,1997,CUCUTA,NORTE DE SANTANDER,ELN,1.0,8.112041811,-72.48862641,CAT_Atentados_Terroristas
1997,1997,MEDELLIN,ANTIOQUIA,FARC,0.0,6.250063,-75.578661,CAT_Atentados_Terroristas
1998,1998,VIOTA,CUNDINAMARCA,FARC,1.0,4.436054105,-74.48543339,CAT_Atentados_Terroristas
1998,1998,MEDELLIN,ANTIOQUIA,ELN,4.0,6.257590259,-75.61103107,CAT_Atentados_Terroristas
1998,1998,SAN ONOFRE,SUCRE,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,4.0,9.814599536,-75.50522919,CAT_Atentados_Terroristas
1999,1999,MEDELLIN,ANTIOQUIA,ELN,9.0,6.257590259,-75.61103107,CAT_Atentados_Terroristas
1999,1999,MONTERIA,CORDOBA,FARC,0.0,8.584698016,-75.95055079,CAT_Atentados_Terroristas
1999,1999,MEDELLIN,ANTIOQUIA,ELN,0.0,6.250063,-75.578661,CAT_Atentados_Terroristas
1999,1999,VALLE DEL GUAMUEZ,PUTUMAYO,FARC,6.0,0.42012589,-76.77067026,CAT_Atentados_Terroristas
2000,2000,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,1.0,4.650173,-74.107359,CAT_Atentados_Terroristas
2000,2000,CACHIPAY,CUNDINAMARCA,FARC,3.0,4.723063341,-74.45919528,CAT_Atentados_Terroristas
2000,2000,CACHIPAY,CUNDINAMARCA,FARC,3.0,4.723063341,-74.45919528,CAT_Atentados_Terroristas
2000,2000,BARRANCABERMEJA,SANTANDER,ELN,2.0,7.054074558,-73.78211646,CAT_Atentados_Terroristas
2000,2000,SANTIAGO DE CALI,VALLE DEL CAUCA,ELN,1.0,3.414162,-76.521469,CAT_Atentados_Terroristas
2000,2000,PUERTO ASIS,PUTUMAYO,FARC,2.0,0.433884539,-76.52158203,CAT_Atentados_Terroristas
2000,2000,GRANADA,ANTIOQUIA,FARC,28.0,6.142892,-75.184446,CAT_Atentados_Terroristas
2001,2001,SAN FRANCISCO,ANTIOQUIA,ELN,3.0,5.840093731,-74.98176334,CAT_Atentados_Terroristas
2001,2001,MARINILLA,ANTIOQUIA,ELN,1.0,6.172156,-75.33889,CAT_Atentados_Terroristas
2001,2001,SAN RAFAEL,ANTIOQUIA,FARC,3.0,6.293759,-75.02849,CAT_Atentados_Terroristas
2001,2001,PEÑOL,ANTIOQUIA,ELN,6.0,6.232396368,-75.22350905,CAT_Atentados_Terroristas
2002,2002,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,6.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2002,2002,PUERTO LLERAS,META,FARC,6.0,3.269732,-73.373743,CAT_Atentados_Terroristas
2002,2002,PUERTO CARREÑO,VICHADA,FARC,6.0,5.836529669,-68.14122234,CAT_Atentados_Terroristas
2002,2002,FUENTE DE ORO,META,FARC,0.0,3.382370124,-73.59625429,CAT_Atentados_Terroristas
2002,2002,VILLAVICENCIO,META,FARC,10.0,4.09166877,-73.49291594,CAT_Atentados_Terroristas
2002,2002,BARRANQUILLA,ATLANTICO,FARC,4.0,10.98152051,-74.82771544,CAT_Atentados_Terroristas
2002,2002,LA PINTADA,ANTIOQUIA,FARC,1.0,5.746583958,-75.60220206,CAT_Atentados_Terroristas
2002,2002,LA PINTADA,ANTIOQUIA,FARC,1.0,5.746583958,-75.60220206,CAT_Atentados_Terroristas
2002,2002,CHIGORODO,ANTIOQUIA,FARC,9.0,7.631665644,-76.63964213,CAT_Atentados_Terroristas
2002,2002,MIRANDA,CAUCA,FARC,1.0,3.253161,-76.229046,CAT_Atentados_Terroristas
2002,2002,GUADALUPE,ANTIOQUIA,FARC,0.0,6.861576325,-75.22591303,CAT_Atentados_Terroristas
2002,2002,SAN JUAN DE RIOSECO,CUNDINAMARCA,FARC,3.0,4.814537831,-74.61525985,CAT_Atentados_Terroristas
2002,2002,SAN VICENTE DEL CAGUAN,CAQUETA,FARC,0.0,1.308465061,-74.19746971,CAT_Atentados_Terroristas
2002,2002,TAME,ARAUCA,FARC,0.0,6.390650479,-71.79178647,CAT_Atentados_Terroristas
2002,2002,SARAVENA,ARAUCA,FARC,4.0,6.906941714,-71.85070757,CAT_Atentados_Terroristas
2002,2002,EL CARMEN DE BOLIVAR,BOLIVAR,FARC,0.0,9.699819876,-75.15793573,CAT_Atentados_Terroristas
2002,2002,GRANADA,CUNDINAMARCA,FARC,0.0,4.523484884,-74.33724619,CAT_Atentados_Terroristas
2002,2002,ARAUCA,ARAUCA,FARC,2.0,6.796280825,-70.50921153,CAT_Atentados_Terroristas
2002,2002,BARRANQUILLA,ATLANTICO,FARC,0.0,10.977998,-74.815324,CAT_Atentados_Terroristas
2002,2002,CUCUTA,NORTE DE SANTANDER,ELN,0.0,8.112041811,-72.48862641,CAT_Atentados_Terroristas
2002,2002,CUCUNUBA,CUNDINAMARCA,ELN,0.0,5.230308105,-73.78001885,CAT_Atentados_Terroristas
2002,2002,SANTA MARTA,MAGDALENA,FARC,2.0,11.204685,-74.200077,CAT_Atentados_Terroristas
2002,2002,NEIVA,HUILA,FARC,1.0,2.993360046,-75.27236232,CAT_Atentados_Terroristas
2003,2003,FORTUL,ARAUCA,FARC,4.0,6.750907234,-71.79124241,CAT_Atentados_Terroristas
2003,2003,MEDELLIN,ANTIOQUIA,FARC,5.0,6.250063,-75.578661,CAT_Atentados_Terroristas
2003,2003,SAN VICENTE DEL CAGUAN,CAQUETA,FARC,0.0,1.308465061,-74.19746971,CAT_Atentados_Terroristas
2003,2003,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,36.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2003,2003,CUCUTA,NORTE DE SANTANDER,ELN,13.0,8.112041811,-72.48862641,CAT_Atentados_Terroristas
2003,2003,ISNOS,HUILA,FARC,1.0,1.945591321,-76.18204722,CAT_Atentados_Terroristas
2003,2003,EL PAUJIL,CAQUETA,FARC,0.0,1.476630016,-75.20231825,CAT_Atentados_Terroristas
2003,2003,EL PAUJIL,CAQUETA,FARC,1.0,1.476630016,-75.20231825,CAT_Atentados_Terroristas
2003,2003,SOCHA,BOYACA,FARC,0.0,5.960498836,-72.68239784,CAT_Atentados_Terroristas
2003,2003,SAN MARTIN,META,FARC,1.0,3.515860962,-72.65672742,CAT_Atentados_Terroristas
2003,2003,PUERTO RICO,META,FARC,5.0,2.758083657,-73.13780171,CAT_Atentados_Terroristas
2003,2003,CHITA,BOYACA,FARC,9.0,6.091468485,-72.43903174,CAT_Atentados_Terroristas
2003,2003,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,6.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2003,2003,SARAVENA,ARAUCA,FARC,0.0,6.906941714,-71.85070757,CAT_Atentados_Terroristas
2003,2003,FORTUL,ARAUCA,FARC,2.0,6.750907234,-71.79124241,CAT_Atentados_Terroristas
2003,2003,YARUMAL,ANTIOQUIA,FARC,7.0,6.963832,-75.418828,CAT_Atentados_Terroristas
2003,2003,ITUANGO,ANTIOQUIA,FARC,0.0,7.341549718,-75.67842277,CAT_Atentados_Terroristas
2003,2003,TAME,ARAUCA,FARC,1.0,6.390650479,-71.79178647,CAT_Atentados_Terroristas
2004,2004,TAME,ARAUCA,FARC,2.0,6.390650479,-71.79178647,CAT_Atentados_Terroristas
2004,2004,SAN CARLOS,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,3.0,6.193789659,-74.90732769,CAT_Atentados_Terroristas
2004,2004,APARTADO,ANTIOQUIA,FARC,7.0,7.86047815,-76.58236264,CAT_Atentados_Terroristas
2005,2005,FLORENCIA,CAQUETA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,1.749138704,-75.55823906,CAT_Atentados_Terroristas
2006,2006,SAN VICENTE DEL CAGUAN,CAQUETA,FARC,4.0,1.308465061,-74.19746971,CAT_Atentados_Terroristas
2006,2006,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,3.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2006,2006,BUENAVENTURA,VALLE DEL CAUCA,FARC,1.0,3.493340766,-77.11872831,CAT_Atentados_Terroristas
2006,2006,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2007,2007,BUENAVENTURA,VALLE DEL CAUCA,FARC,6.0,3.875708,-77.01074,CAT_Atentados_Terroristas
2007,2007,BUENAVENTURA,VALLE DEL CAUCA,FARC,1.0,3.493340766,-77.11872831,CAT_Atentados_Terroristas
2007,2007,NEIVA,HUILA,FARC,0.0,2.993360046,-75.27236232,CAT_Atentados_Terroristas
2007,2007,PUERTO ASIS,PUTUMAYO,FARC,2.0,0.433884539,-76.52158203,CAT_Atentados_Terroristas
2008,2008,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,1.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2008,2008,ITUANGO,ANTIOQUIA,FARC,7.0,7.341549718,-75.67842277,CAT_Atentados_Terroristas
2008,2008,SAN RAFAEL,ANTIOQUIA,FARC,1.0,6.31074453,-74.99858652,CAT_Atentados_Terroristas
2008,2008,SAN RAFAEL,ANTIOQUIA,FARC,0.0,6.31074453,-74.99858652,CAT_Atentados_Terroristas
2009,2009,ROBERTO PAYAN,NARIÑO,FARC,5.0,1.697492,-78.245716,CAT_Atentados_Terroristas
2009,2009,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,2.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2009,2009,CONVENCION,NORTE DE SANTANDER,ELN,9.0,8.873159895,-73.20007769,CAT_Atentados_Terroristas
2009,2009,SAMANIEGO,NARIÑO,ELN,0.0,1.430555262,-77.69179559,CAT_Atentados_Terroristas
2010,2010,BUENAVENTURA,VALLE DEL CAUCA,FARC,9.0,3.493340766,-77.11872831,CAT_Atentados_Terroristas
2010,2010,APARTADO,ANTIOQUIA,FARC,1.0,7.86047815,-76.58236264,CAT_Atentados_Terroristas
2010,2010,"BOGOTA, D.C.","BOGOTA, D. C.",FARC,0.0,4.650173,-74.107359,CAT_Atentados_Terroristas
2011,2011,SAN CALIXTO,NORTE DE SANTANDER,FARC,3.0,8.414441404,-73.2176038,CAT_Atentados_Terroristas
2011,2011,SANTA BARBARA,NARIÑO,FARC,1.0,2.494420411,-77.98256461,CAT_Atentados_Terroristas
2011,2011,POPAYAN,CAUCA,ELN,1.0,2.471704362,-76.59194419,CAT_Atentados_Terroristas
2011,2011,TORIBIO,CAUCA,FARC,4.0,2.975771999,-76.20331566,CAT_Atentados_Terroristas
2011,2011,FLORIDA,VALLE DEL CAUCA,FARC,0.0,3.304104295,-76.16477307,CAT_Atentados_Terroristas
2011,2011,MAICAO,LA GUAJIRA,FARC,3.0,11.38157764,-72.29500818,CAT_Atentados_Terroristas
2012,2012,TIBU,NORTE DE SANTANDER,FARC,3.0,8.468711125,-72.57585052,CAT_Atentados_Terroristas
2012,2012,SAN ANDRES DE TUMACO,NARIÑO,FARC,0.0,1.574550638,-78.61540963,CAT_Atentados_Terroristas
2012,2012,SAN ANDRES DE TUMACO,NARIÑO,FARC,9.0,1.574550638,-78.61540963,CAT_Atentados_Terroristas
2012,2012,VILLA RICA,CAUCA,FARC,6.0,3.180627317,-76.46445558,CAT_Atentados_Terroristas
2012,2012,CORINTO,CAUCA,FARC,0.0,3.136753606,-76.20964569,CAT_Atentados_Terroristas
2012,2012,EL TARRA,NORTE DE SANTANDER,FARC,0.0,8.678263671,-73.0317597,CAT_Atentados_Terroristas
2012,2012,JAMBALO,CAUCA,FARC,0.0,2.84981013,-76.31124919,CAT_Atentados_Terroristas
2012,2012,IBAGUE,TOLIMA,FARC,0.0,4.451921427,-75.252591,CAT_Atentados_Terroristas
2012,2012,EL CHARCO,NARIÑO,FARC,0.0,2.216382295,-77.99533234,CAT_Atentados_Terroristas
2012,2012,VISTAHERMOSA,META,FARC,6.0,3.218280369,-73.79453841,CAT_Atentados_Terroristas
2012,2012,PRADERA,VALLE DEL CAUCA,FARC,2.0,3.42063665,-76.17841841,CAT_Atentados_Terroristas
2012,2012,BALBOA,CAUCA,FARC,0.0,2.084732945,-77.2088133,CAT_Atentados_Terroristas
2013,2013,ARGELIA,CAUCA,FARC,0.0,2.329337283,-77.26314906,CAT_Atentados_Terroristas
2013,2013,SAN ANDRES DE TUMACO,NARIÑO,FARC,0.0,1.574550638,-78.61540963,CAT_Atentados_Terroristas
2014,2014,MEDELLIN,ANTIOQUIA,FARC,0.0,6.250063,-75.578661,CAT_Atentados_Terroristas
2014,2014,MIRANDA,CAUCA,FARC,1.0,3.228235212,-76.21670827,CAT_Atentados_Terroristas
2015,2015,PUERTO ASIS,PUTUMAYO,FARC,0.0,0.433884539,-76.52158203,CAT_Atentados_Terroristas
2015,2015,ANORI,ANTIOQUIA,FARC,0.0,7.193110778,-75.10848954,CAT_Atentados_Terroristas
2015,2015,MOCOA,PUTUMAYO,FARC,0.0,1.26070915,-76.66584349,CAT_Atentados_Terroristas
2015,2015,FLORIDA,VALLE DEL CAUCA,FARC,0.0,3.304104295,-76.16477307,CAT_Atentados_Terroristas
2015,2015,SAN ANDRES DE TUMACO,NARIÑO,FARC,0.0,1.574550638,-78.61540963,CAT_Atentados_Terroristas
1965,1965,CUCUTA,NORTE DE SANTANDER,ELN,0.0,7.905613,-72.508577,CAT_Atentados_Terroristas
2003,2003,SARAVENA,ARAUCA,FARC,5.0,6.906941714,-71.85070757,CAT_Atentados_Terroristas
1965,1965,"BOGOTA, D.C.","BOGOTA, D. C.",ELN,1.0,4.650173,-74.107359,CAT_Atentados_Terroristas
2001,2001,GRAMALOTE,NORTE DE SANTANDER,ELN,2.0,7.916946,-72.787233,CAT_Atentados_Terroristas
2012,2012,ALGECIRAS,HUILA,FARC,0.0,2.49785068,-75.29134946,CAT_Atentados_Terroristas
2012,2012,EL CHARCO,NARIÑO,PRESENCIA GAO SIN ATRIBUCIÓN,0.0,2.216382295,-77.99533234,CAT_Atentados_Terroristas
2013,2013,INZA,CAUCA,FARC,8.0,2.549183,-76.063503,CAT_Atentados_Terroristas
1992,1992,BARBOSA,ANTIOQUIA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,1.0,6.439195,-75.331627,CAT_Atentados_Terroristas
1997,1997,APARTADO,ANTIOQUIA,FARC,10.0,7.86047815,-76.58236264,CAT_Atentados_Terroristas
1997,1997,PUERTO RICO,CAQUETA,FARC,1.0,2.018940891,-75.07308627,CAT_Atentados_Terroristas
2003,2003,SAN VICENTE DEL CAGUAN,CAQUETA,FARC,1.0,2.11965,-74.766451,CAT_Atentados_Terroristas
2003,2003,FLORENCIA,CAQUETA,FARC,14.0,1.749138704,-75.55823906,CAT_Atentados_Terroristas
2003,2003,FLORENCIA,CAQUETA,FARC,3.0,1.618234,-75.609796,CAT_Atentados_Terroristas
2011,2011,CALDONO,CAUCA,FARC,0.0,2.785615005,-76.51863329,CAT_Atentados_Terroristas
2012,2012,EL TARRA,NORTE DE SANTANDER,FARC,0.0,8.574281,-73.09614,CAT_Atentados_Terroristas
2012,2012,SANDONA,NARIÑO,FARC,0.0,1.286137,-77.469571,CAT_Atentados_Terroristas
2012,2012,BUENAVENTURA,VALLE DEL CAUCA,FARC,0.0,3.875708,-77.01074,CAT_Atentados_Terroristas
2012,2012,TAME,ARAUCA,FARC,2.0,6.390650479,-71.79178647,CAT_Atentados_Terroristas
2014,2014,SAN ANDRES DE CUERQUIA,ANTIOQUIA,FARC,0.0,6.912558,-75.676008,CAT_Atentados_Terroristas
2002,2002,LA JAGUA DEL PILAR,LA GUAJIRA,FARC,0.0,10.4580941,-73.07209193,CAT_Atentados_Terroristas
2011,2011,EL CHARCO,NARIÑO,FARC,0.0,2.216382295,-77.99533234,CAT_Atentados_Terroristas
2012,2012,PATIA,CAUCA,FARC,0.0,2.115875,-76.981075,CAT_Atentados_Terroristas
2001,2001,GRANADA,META,FARC,0.0,3.551865,-73.712572,CAT_Atentados_Terroristas
2012,2012,BALBOA,CAUCA,FARC,0.0,2.084732945,-77.2088133,CAT_Atentados_Terroristas
1988,1988,"BOGOTA, D.C.","BOGOTA, D. C.",OTRO,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
1976,1976,"BOGOTA, D.C.","BOGOTA, D. C.",EPL,0.0,4.316107698,-74.1810727,CAT_Atentados_Terroristas
2000,2000,RONCESVALLES,TOLIMA,FARC,3.0,4.097861181,-75.59428027,CAT_Atentados_Terroristas
