municipio,departamento,perpetrador,total_victimas,total_casos,municipio_norm,poblacion,casos_per_100k
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,29.0,16,ABEJORRAL,21246.0,75.30829332580251
ABEJORRAL,ANTIOQUIA,ELN,21.0,20,ABEJORRAL,21246.0,94.13536665725313
ABEJORRAL,ANTIOQUIA,FARC,12.0,20,ABEJORRAL,21246.0,94.13536665725313
ABEJORRAL,ANTIOQUIA,PRESENCIA GAO SIN ATRIBUCIÓN,4.0,4,ABEJORRAL,21246.0,18.827073331450627
ABREGO,NORTE DE SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,40.0,33,ABREGO,34732.0,95.01324427041345
ABREGO,NORTE DE SANTANDER,DISIDENCIA EPL,46.0,50,ABREGO,34732.0,143.95946101577795
ABREGO,NORTE DE SANTANDER,DISIDENCIA FARC,2.0,3,ABREGO,34732.0,8.637567660946678
ABREGO,NORTE DE SANTANDER,ELN,43.0,68,ABREGO,34732.0,195.78486698145804
ABREGO,NORTE DE SANTANDER,EPL,7.0,1,ABREGO,34732.0,2.879189220315559
ABREGO,NORTE DE SANTANDER,FARC,10.0,15,ABREGO,34732.0,43.18783830473339
ABREGO,NORTE DE SANTANDER,PRESENCIA GAO SIN ATRIBUCIÓN,6.0,2,ABREGO,34732.0,5.758378440631118
ABRIAQUI,ANTIOQUIA,AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU),1.0,1,ABRIAQUI,2864.0,34.91620111731844
ABRIAQUI,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2.0,2,ABRIAQUI,2864.0,69.83240223463687
ABRIAQUI,ANTIOQUIA,ELN,2.0,2,ABRIAQUI,2864.0,69.83240223463687
ABRIAQUI,ANTIOQUIA,FARC,14.0,13,ABRIAQUI,2864.0,453.9106145251397
ACACIAS,META,AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU),1.0,1,ACACIAS,94017.0,1.063637427273791
ACACIAS,META,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,88.0,79,ACACIAS,94017.0,84.02735675462948
ACACIAS,META,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,0.0,1,ACACIAS,94017.0,1.063637427273791
ACACIAS,META,FARC,75.0,82,ACACIAS,94017.0,87.21826903645085
ACACIAS,META,OTRO,5.0,3,ACACIAS,94017.0,3.1909122818213724
ACACIAS,META,PRESENCIA GAO SIN ATRIBUCIÓN,8.0,7,ACACIAS,94017.0,7.445461990916535
ACANDI,CHOCO,AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU),11.0,3,ACANDI,14493.0,20.6996481059822
ACANDI,CHOCO,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,28.0,26,ACANDI,14493.0,179.39695025184574
ACANDI,CHOCO,FARC,16.0,20,ACANDI,14493.0,137.99765403988133
ACANDI,CHOCO,PRESENCIA GAO SIN ATRIBUCIÓN,6.0,6,ACANDI,14493.0,41.3992962119644
ACANDI,CHOCO,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,4.0,4,ACANDI,14493.0,27.59953080797626
ACEVEDO,HUILA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,18.0,14,ACEVEDO,25909.0,54.03527731676251
ACEVEDO,HUILA,FARC,47.0,44,ACEVEDO,25909.0,169.8251572812536
ACEVEDO,HUILA,OTRO,0.0,1,ACEVEDO,25909.0,3.859662665483037
ACEVEDO,HUILA,PRESENCIA GAO SIN ATRIBUCIÓN,8.0,4,ACEVEDO,25909.0,15.438650661932147
ACHI,BOLIVAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,14.0,10,ACHI,25786.0,38.7807337314822
ACHI,BOLIVAR,DISIDENCIA EPL,0.0,1,ACHI,25786.0,3.87807337314822
ACHI,BOLIVAR,ELN,45.0,49,ACHI,25786.0,190.02559528426278
ACHI,BOLIVAR,FARC,31.0,27,ACHI,25786.0,104.70798107500194
ACHI,BOLIVAR,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,7.0,5,ACHI,25786.0,19.3903668657411
AGRADO,HUILA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,1,AGRADO,9151.0,10.927767457108512
AGRADO,HUILA,FARC,3.0,2,AGRADO,9151.0,21.855534914217024
AGUA DE DIOS,CUNDINAMARCA,FARC,5.0,5,AGUA DE DIOS,13592.0,36.78634490876986
AGUACHICA,CESAR,AUTODEFENSAS CAMPESINAS DE CÓRDOBA Y URABÁ (ACCU),2.0,2,AGUACHICA,124553.0,1.6057421338707216
AGUACHICA,CESAR,AUTODEFENSAS DE HERNÁN GIRALDO,1.0,1,AGUACHICA,124553.0,0.8028710669353608
AGUACHICA,CESAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,75.0,71,AGUACHICA,124553.0,57.00384575241062
AGUACHICA,CESAR,BLOQUE CENTRAL BOLÍVAR,9.0,3,AGUACHICA,124553.0,2.4086132008060828
AGUACHICA,CESAR,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,0.0,6,AGUACHICA,124553.0,4.8172264016121655
AGUACHICA,CESAR,DISIDENCIA EPL,12.0,3,AGUACHICA,124553.0,2.4086132008060828
AGUACHICA,CESAR,DISIDENCIA FARC,1.0,1,AGUACHICA,124553.0,0.8028710669353608
AGUACHICA,CESAR,ELN,278.0,247,AGUACHICA,124553.0,198.30915353303413
AGUACHICA,CESAR,EPL,3.0,3,AGUACHICA,124553.0,2.4086132008060828
AGUACHICA,CESAR,FARC,13.0,15,AGUACHICA,124553.0,12.043066004030413
AGUACHICA,CESAR,OTRO,1.0,1,AGUACHICA,124553.0,0.8028710669353608
AGUACHICA,CESAR,PRESENCIA GAO SIN ATRIBUCIÓN,11.0,8,AGUACHICA,124553.0,6.4229685354828865
AGUADA,SANTANDER,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,3.0,2,AGUADA,1916.0,104.38413361169101
