municipio,departamento,perpetrador,año,total_victimas,lat,lon,total_casos,municipio_norm,poblacion,casos_per_100k,municipio_geo,lookup_key
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1999,11.0,5.730251958,-75.49077728,3,ABEJORRAL,21246.0,14.12030499858797,ABEJORRAL,ABEJORRAL_1999_AUTODEFENSAS UNIDAS DE COLOMBIA AUC
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2000,5.0,5.803728154,-75.43847353,4,ABEJORRAL,21246.0,18.827073331450627,ABEJORRAL,ABEJORRAL_2000_AUTODEFENSAS UNIDAS DE COLOMBIA AUC
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2001,3.0,5.803728154,-75.43847353,2,ABEJORRAL,21246.0,9.413536665725314,ABEJORRAL,ABEJORRAL_2001_AUTODEFENSAS UNIDAS DE COLOMBIA AUC
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2002,5.0,5.803728154,-75.43847353,3,ABEJORRAL,21246.0,14.12030499858797,ABEJORRAL,ABEJORRAL_2002_AUTODEFENSAS UNIDAS DE COLOMBIA AUC
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2003,1.0,5.803728154,-75.43847353,1,ABEJORRAL,21246.0,4.706768332862657,ABEJORRAL,ABEJORRAL_2003_AUTODEFENSAS UNIDAS DE COLOMBIA AUC
ABEJORRAL,ANTIOQUIA,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,2004,4.0,5.803728154,-75.43847353,3,ABEJORRAL,21246.0,14.12030499858797,ABEJORRAL,ABEJORRAL_2004_AUTODEFENSAS UNIDAS DE COLOMBIA AUC
ABEJORRAL,ANTIOQUIA,ELN,1999,1.0,5.803728154,-75.43847353,1,ABEJORRAL,21246.0,4.706768332862657,ABEJORRAL,ABEJORRAL_1999_ELN
ABEJORRAL,ANTIOQUIA,ELN,2000,2.0,5.803728154,-75.43847353,4,ABEJORRAL,21246.0,18.827073331450627,ABEJORRAL,ABEJORRAL_2000_ELN
ABEJORRAL,ANTIOQUIA,ELN,2001,3.0,5.803728154,-75.43847353,3,ABEJORRAL,21246.0,14.12030499858797,ABEJORRAL,ABEJORRAL_2001_ELN
ABEJORRAL,ANTIOQUIA,ELN,2002,9.0,5.803728154,-75.43847353,8,ABEJORRAL,21246.0,37.654146662901255,ABEJORRAL,ABEJORRAL_2002_ELN
ABEJORRAL,ANTIOQUIA,ELN,2003,4.0,5.803728154,-75.43847353,2,ABEJORRAL,21246.0,9.413536665725314,ABEJORRAL,ABEJORRAL_2003_ELN
ABEJORRAL,ANTIOQUIA,ELN,2005,2.0,5.803728154,-75.43847353,2,ABEJORRAL,21246.0,9.413536665725314,ABEJORRAL,ABEJORRAL_2005_ELN
ABEJORRAL,ANTIOQUIA,FARC,1998,1.0,5.803728154,-75.43847353,2,ABEJORRAL,21246.0,9.413536665725314,ABEJORRAL,ABEJORRAL_1998_FARC
ABEJORRAL,ANTIOQUIA,FARC,1999,2.0,5.803728154,-75.43847353,2,ABEJORRAL,21246.0,9.413536665725314,ABEJORRAL,ABEJORRAL_1999_FARC
ABEJORRAL,ANTIOQUIA,FARC,2000,1.0,5.803728154,-75.43847353,3,ABEJORRAL,21246.0,14.12030499858797,ABEJORRAL,ABEJORRAL_2000_FARC
