municipio,poblacion
BOGOTÁ,7968095
MEDELLÍN,2653729
CALI,2297230
BARRANQUILLA,1327209
CARTAGENA,1065570
SOACHA,831259
CÚCUTA,795608
SOLEDAD,692799
BUCARAMANGA,623378
BELLO,578376
VALLEDUPAR,559462
VILLAVICENCIO,558299
SANTA MARTA,557388
IBAGUÉ,545210
MONTERÍA,516217
PEREIRA,490464
MANIZALES,458442
PASTO,393476
NEIVA,373129
PALMIRA,361375
POPAYÁN,333382
BUENAVENTURA,318003
ARMENIA,316926
FLORIDABLANCA,315981
SINCELEJO,304026
ITAGÜÍ,303766
TUMACO,257631
ENVIGADO,253699
DOSQUEBRADAS,230086
TULUÁ,223191
BARRANCABERMEJA,216219
RIOHACHA,212314
URIBIA,199987
MAICAO,194675
PIEDECUESTA,187763
TUNJA,182828
YOPAL,181548
FLORENCIA,178640
GIRÓN,176418
FACATATIVÁ,172064
JAMUNDÍ,170492
FUSAGASUGÁ,170039
MOSQUERA,166203
CHÍA,164995
ZIPAQUIRÁ,161445
RIONEGRO,149786
MALAMBO,145396
MAGANGUÉ,145145
MADRID,140249
CARTAGO,140022
TURBO,136374
QUIBDÓ,133906
APARTADÓ,133811
SOGAMOSO,133716
OCAÑA,132387
PITALITO,131735
BUGA,131499
DUITAMA,129192
CIÉNAGA,128647
AGUACHICA,124553
GIRARDOT,121090
LORICA,117924
TURBACO,117501
IPIALES,116074
FUNZA,115923
SANTANDER DE QUILICHAO,115745
VILLA DEL ROSARIO,113903
SAHAGÚN,112585
YUMBO,112272
CERETÉ,110723
SABANALARGA,104207
CAJICÁ,102554
ARAUCA,101457
CAUCASIA,99959
LOS PATIOS,99535
MANAURE,98299
TIERRALTA,97227
CANDELARIA,96096
ACACÍAS,94017
SABANETA,92159
MONTELÍBANO,87735
CALDAS,87385
COPACABANA,85706
CUMARIBO,81651
SANTA ROSA DE CABAL,81608
LA ESTRELLA,79103
CALARCÁ,77878
ZONA BANANERA,76510
ARJONA,76370
LA DORADA,76043
GARZÓN,75926
EL CARMEN DE BOLÍVAR,75179
COROZAL,73282
FUNDACIÓN,72934
GRANADA,72259
EL BANCO,72131
LA CEJA,71570
ESPINAL,71549
MARINILLA,71117
PUERTO ASÍS,70006
BARANOA,69851
GALAPA,69820
VILLAMARÍA,69285
AGUSTÍN CODAZZI,67879
PLATO,66235
PLANETA RICA,66158
SARAVENA,66026
EL CARMEN DE VIBORAL,65553
LA PLATA,63886
CHIGORODÓ,62678
SAN MARCOS,62642
CIÉNAGA DE ORO,61812
MOCOA,61391
SAN GIL,61237
GUARNE,60921
TIBÚ,60119
SAN JOSÉ DEL GUAVIARE,59446
SAN ANDRÉS,59209
FLORIDA,59109
CHIQUINQUIRÁ,59089
ARAUQUITA,58905
EL CERRITO,58265
GIRARDOTA,57024
BARBOSA,56928
BARBACOAS,56653
EL BAGRE,56392
TUCHÍN,56142
PUERTO COLOMBIA,55890
PAMPLONA,55182
EL TAMBO,55064
SAN VICENTE DEL CAGUÁN,54304
SAN PELAYO,54125
CHINCHINÁ,53695
CAREPA,53572
LA JAGUA DE IBIRICO,53480
RIOSUCIO,53386
LETICIA,53293
SAN ONOFRE,52851
SAN JUAN DEL CESAR,52157
UBATÉ,51738
TAME,51308
CHAPARRAL,51125
SAMPUÉS,50493
TOCANCIPÁ,50428
MARÍA LA BAJA,50182
DAGUA,49986
CHINÚ,48733
PUERTO BOYACÁ,49232
PRADERA,49119
SAN ANDRÉS SOTAVENTO,49067
AYAPEL,48255
MOMPOX,48060
PÁEZ,47877
FONSECA,46855
ANDES,46289
