concepto,elemento,estadistico,desglose,categoria,unidadMedida,ola,valor
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2022,6.134422
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2022,4.490405
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2022,8.491445
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2020,5.607394
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2020,4.196511
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2020,9.017741
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2017,4.715791
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2017,3.84736
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2017,9.957494
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2014,4.196372
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2014,3.900893
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2014,10.262609
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2011,4.313783
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2011,3.286431
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2011,10.359806
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2008,4.323944
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2008,2.827299
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2008,10.106558
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2005,3.952987
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2005,2.750216
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2005,9.284197
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Bachillerato,Hogares,2002,3.82659
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Estudios universitarios,Hogares,2002,2.255124
POBLACION,POBLACION TOTAL,NUMERO DE HOGARES,EDUCACION DEL CABEZA DE FAMILIA,Inferior a bachillerato,Hogares,2002,8.656442
