dept_name,total
ANTIOQUIA,123884
BOYACA,3585
CAQUETA,7311
HUILA,27342
NORTE DE SANTANDER,21128
BOLIVAR,16819
LA GUAJIRA,5699
SANTAFE DE BOGOTA D.C,18276
,9871
VALLE DEL CAUCA,44358
CAUCA,16408
SANTANDER,20622
META,26331
CUNDINAMARCA,13765
ARAUCA,10022
PUTUMAYO,19815
MAGDALENA,11112
SUCRE,27267
TOLIMA,13602
CASANARE,10297
CESAR,22784
CHOCO,32744
NARIÑO,33486
RISARALDA,11270
CORDOBA,20635
CALDAS,11784
ATLANTICO,5452
QUINDIO,5889
GUAVIARE,4826
AMAZONAS,127
GUAINIA,1236
VAUPES,37
VICHADA,327
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,6
